Voltage (V),Current (muA),Voltage (V),Current (muA)
0.241,0.01,0.0021205,0.05002
0.308,0.02,0.002154,0.05004
0.444,0.02,0.002222,0.05004
0.532,0.05,0.002266,0.0501
0.628,0.11,0.002314,0.05022
0.758,0.84,0.002379,0.05168
0.831,3.34,0.0024155,0.05668
0.945,23.13,0.0024725,0.09626
1.002,46.17,0.002501,0.14234
1.123,177.8,0.0025615,0.8556
1.356,212.79,0.002678,0.92558
1.435,386.2,0.0027175,1.2724
1.529,470.7,0.0027645,1.4414
