Wavelength (nm),Voltage (V),Current (muA),Wavelength (nm),Voltage (V),Current (muA)
464,2.206,0.79,10,0.003103,0.05158
464,2.15,0.45,10,0.003075,0.0509
505,1.987,1.65,10,0.0029935,0.0533
505,1.933,0.89,10,0.0029665,0.05178
565,1.723,1.508,10,0.0028615,0.053016
565,1.641,2.51,10,0.0028205,0.05502
590,1.547,0.53,10,0.0027735,0.05106
590,1.529,0.41,10,0.0027645,0.05082
660,1.441,2.03,10,0.0027205,0.05406
660,1.363,0.54,10,0.0026815,0.05108
