Voltage (V),Current (muA),Voltage (V),Current (muA)
0.558,0.05,0.002279,0.0501
0.678,0.07,0.002339,0.05014
0.8,0.19,0.0024,0.05038
0.934,1.73,0.002467,0.05346
1.058,15.84,0.002529,0.08168
1.211,88.14,0.0026055,0.22628
1.315,169.9,0.0026575,0.3898
1.409,240.45,0.0027045,0.5309
1.516,335.1,0.002758,1.1702
1.613,420,0.0028065,1.34
1.727,524.7,0.0028635,1.5494
