Polarization of Light 'cos squared(2xtheta)'  Data File Mon, Mar 9, 2026 4:32 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	3.25591
0.54030	3.25640
0.54030	3.25624
0.54030	3.25430
0.54030	3.25704
0.54030	3.25753
0.54030	3.25463
0.54030	3.25688
0.54030	3.25511
0.54030	3.25785
0.54030	3.25753
0.54030	3.25624
0.54030	3.25881
0.54030	3.25914
0.54030	3.25495
0.54030	3.25720
0.54030	3.25543
0.54030	3.25624
0.54030	3.25608
0.54030	3.25769
0.54030	3.25640
0.54030	3.25575
0.54030	3.25382
0.54030	3.25624
0.54030	3.25930
0.54030	3.25769
0.54030	3.25736
0.54030	3.25591
0.54030	3.25720
0.54030	3.25527
0.54030	3.25817
0.54030	3.25736
0.54030	3.25575
0.54030	3.25865
0.54033	3.26751
0.54033	3.26912
0.54033	3.26848
0.54033	3.26784
0.54033	3.27251
0.54043	3.28443
0.54235	3.39880
0.54350	3.44229
0.54350	3.44310
0.54350	3.44229
0.54417	3.46565
0.54570	3.51236
0.54656	3.52573
0.54748	3.54007
0.54951	3.56584
0.54951	3.57809
0.55432	3.63221
0.56009	3.69665
0.56169	3.71308
0.56334	3.72629
0.56683	3.75383
0.56866	3.76301
0.57054	3.78009
0.57449	3.81279
0.58082	3.84968
0.59004	3.91250
0.60816	4.01044
0.61378	4.04089
0.61378	4.04830
0.61958	4.06151
0.62255	4.07681
0.63173	4.12014
0.64129	4.15768
0.65120	4.21357
0.65458	4.22405
0.65800	4.23226
0.66493	4.25272
0.67920	4.29831
0.69768	4.34728
0.70526	4.37579
0.70908	4.38658
0.71292	4.39125
0.71678	4.41236
0.72456	4.43282
0.72847	4.44490
0.73240	4.44780
0.74825	4.47728
0.79240	4.53092
0.83217	4.57747
0.83608	4.58891
0.83608	4.58569
0.83608	4.58424
0.83608	4.58343
0.83608	4.58311
0.83217	4.58166
0.83217	4.57989
0.83217	4.58070
0.83217	4.58053
0.83217	4.58086
0.83217	4.57860
0.83217	4.57892
0.83217	4.57844
0.84768	4.60405
0.86285	4.63208
0.88119	4.67139
0.88119	4.67622
0.88476	4.67977
0.90209	4.68138
0.93930	4.65673
0.96882	4.61742
0.97481	4.60357
0.97481	4.60244
0.97667	4.59809
0.98344	4.58585
0.99149	4.55154
0.99454	4.53607
0.99454	4.53607
0.99454	4.53205
0.99454	4.53398
0.99620	4.52528
0.99620	4.52480
0.99692	4.51545
0.99814	4.49838
0.99905	4.48807
0.99939	4.47631
1.00000	4.44892
1.00000	4.44393
0.99985	4.43217
0.99985	4.43265
0.99966	4.41832
0.99939	4.41316
0.99939	4.41542
0.99863	4.39947
0.99814	4.39432
0.99757	4.38223
0.99757	4.37788
0.99454	4.34132
0.98344	4.27205
0.97846	4.23935
0.97846	4.23870
0.97846	4.24209
0.98019	4.25175
0.98019	4.26770
0.98185	4.27882
0.98185	4.28945
0.98185	4.27865
0.98185	4.27704
0.98185	4.27592
0.98185	4.28236
0.98185	4.28365
0.98185	4.27914
0.98185	4.28059
0.98185	4.27720
0.98019	4.26867
0.97088	4.19102
0.95994	4.12675
0.93065	3.98129
0.91202	3.88657
0.90544	3.84919
0.90209	3.82745
0.89181	3.78041
0.87758	3.71791
0.86285	3.65202
0.85151	3.58936
0.83997	3.54329
0.83217	3.50302
0.81639	3.42489
0.80443	3.36690
0.79642	3.32260
0.78838	3.28700
0.77229	3.20324
0.74427	3.08098
0.73240	3.01606
0.73240	3.01348
0.72847	2.98642
0.72847	2.98416
0.72066	2.95034
0.71678	2.91474
0.70526	2.86448
0.69768	2.82856
0.69393	2.80311
0.69393	2.80343
0.69393	2.80069
0.68651	2.76799
0.67559	2.69937
0.67559	2.68841
0.67559	2.68374
0.67559	2.68406
0.67559	2.68197
0.67200	2.67601
0.66493	2.62495
0.65120	2.54956
0.63806	2.47192
0.63173	2.43100
0.63173	2.42697
0.63173	2.41505
0.62557	2.38445
0.62255	2.35980
0.61378	2.28619
0.60542	2.24157
0.60273	2.19952
0.59750	2.16167
0.59004	2.11834
0.58765	2.08532
0.58765	2.07968
0.58532	2.05181
0.58305	2.04311
0.58082	2.02701
0.57866	2.00912
0.57654	1.96982
0.57249	1.93390
0.56683	1.87414
0.55709	1.75188
0.55179	1.67520
0.55062	1.64298
0.54951	1.62494
0.54847	1.61286
0.54748	1.59740
0.54656	1.56293
0.54570	1.55278
0.54570	1.54891
0.54570	1.54199
0.54570	1.54360
0.54570	1.54585
0.54570	1.54698
0.54570	1.54827
0.54570	1.54891
0.54570	1.55229
0.54570	1.55133
0.54570	1.55197
0.54570	1.55310
0.54570	1.54891
0.54570	1.54488
0.54490	1.53715
0.54350	1.50993
0.54043	1.36318
