Polarization of Light 'cos squared(2xtheta)'  Data File Mon, Mar 9, 2026 5:21 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.54030	2.11850
0.54030	2.13058
0.54030	2.12833
0.54030	2.11866
0.54030	2.12027
0.54030	2.12978
0.54030	2.12897
0.54030	2.13155
0.54030	2.13139
0.54030	2.12204
0.54030	2.13235
0.54030	2.12333
0.54043	1.96193
0.54081	1.91038
0.54235	1.87849
0.54417	1.83177
0.54656	1.80600
0.54951	1.77314
0.55179	1.74849
0.55709	1.71628
0.56169	1.67085
0.56683	1.64588
0.56866	1.63348
0.56866	1.63074
0.56866	1.62897
0.56866	1.62156
0.56866	1.62317
0.56866	1.62478
0.56866	1.62559
0.56866	1.62494
0.56866	1.62220
0.56866	1.62011
0.56866	1.62253
0.56866	1.62237
0.56866	1.62639
0.57654	1.58371
0.58765	1.52604
0.60273	1.43342
0.61378	1.37543
0.62863	1.30874
0.63806	1.26041
0.65120	1.19952
0.66845	1.13300
0.68651	1.05713
0.69768	0.99882
0.70908	0.95726
0.70908	0.95645
0.70908	0.95855
0.70908	0.95452
0.70908	0.95549
0.70908	0.95581
0.70908	0.95355
0.70908	0.96386
0.70908	0.95420
0.70908	0.95661
0.70908	0.95484
0.70908	0.95468
0.70908	0.95742
0.70908	0.94469
0.72456	0.89572
0.74825	0.79972
0.77229	0.71644
0.79240	0.63993
0.81639	0.57227
0.82825	0.52427
0.83997	0.49141
0.86285	0.41361
0.88830	0.33629
0.90544	0.28361
0.90875	0.26686
0.90875	0.27024
0.90875	0.27218
0.90875	0.27073
0.90875	0.27636
0.90875	0.27121
0.90875	0.26976
0.90875	0.27508
0.90875	0.27137
0.90875	0.27604
0.90875	0.27492
0.90875	0.27185
0.90875	0.27169
0.92155	0.23158
0.94480	0.16554
0.96225	0.11271
0.97667	0.06438
0.98344	0.05214
0.98910	0.03361
0.99360	0.01702
0.99863	0.00172
0.99985	-0.00698
0.99905	-0.01004
0.99692	-0.00939
0.99692	-0.00811
0.99692	-0.00988
0.99692	-0.00585
0.99692	-0.01181
0.99692	-0.00730
0.99692	-0.00811
0.99692	-0.00891
0.99692	-0.00698
0.99692	-0.00956
0.99692	-0.00698
0.99692	-0.00923
0.99692	-0.00907
0.99692	-0.00778
0.99258	-0.00215
0.98185	0.01428
0.96882	0.03523
0.95513	0.05810
0.94208	0.08258
0.91524	0.13638
0.89870	0.17102
0.87758	0.20855
0.86285	0.24157
0.84383	0.27379
0.83608	0.28957
0.83608	0.29006
0.83608	0.28716
0.83608	0.28313
0.83608	0.28329
0.83608	0.28410
0.83608	0.28313
0.83608	0.28522
0.83608	0.28071
0.83608	0.28313
0.83608	0.28522
0.83608	0.28458
0.83608	0.28845
0.81241	0.32630
0.78034	0.38832
0.74825	0.44051
0.71292	0.50285
0.67920	0.55198
0.66145	0.58000
0.64455	0.60191
0.63488	0.60948
0.61666	0.63268
0.61094	0.63429
0.61094	0.63719
0.61094	0.63687
0.61094	0.63284
0.61094	0.63654
0.61094	0.63316
0.61094	0.63236
0.61094	0.63187
0.61094	0.63429
0.61094	0.63364
0.61094	0.63509
0.61094	0.63525
0.61094	0.63187
0.60009	0.64766
0.58305	0.66103
0.56683	0.66634
0.55179	0.66538
0.54417	0.64782
0.54110	0.63477
0.54033	0.63107
